=== SHEET: sheet0 ===
EXTERNAL_REFERENCE,SOURCE_ID,USER_ID,PAYMENT_METHOD_TYPE,PAYMENT_METHOD,SITE,TRANSACTION_TYPE,TRANSACTION_AMOUNT,TRANSACTION_CURRENCY,TRANSACTION_DATE,FEE_AMOUNT,SETTLEMENT_NET_AMOUNT,SETTLEMENT_CURRENCY,SETTLEMENT_DATE,REAL_AMOUNT,COUPON_AMOUNT,METADATA
,147598007227,324680147,available_money,available_money,MLA,SETTLEMENT,60000.00,ARS,2026-02-28T20:03:45.000-04:00,0.00,59640.00,ARS,2026-02-28T20:03:46.000-04:00,59640.00,0.00,[{}]
,148306553376,324680147,available_money,available_money,MLA,SETTLEMENT,-100000.00,ARS,2026-02-28T19:49:43.000-04:00,0.00,-100600.00,ARS,2026-02-28T19:49:44.000-04:00,-100600.00,0.00,[{}]
,148301942712,324680147,bank_transfer,cvu,MLA,SETTLEMENT,75000.00,ARS,2026-02-28T19:19:36.000-04:00,0.00,74550.00,ARS,2026-02-28T19:19:36.000-04:00,74550.00,0.00,[{}]
,148301558344,324680147,bank_transfer,debin_transfer,MLA,SETTLEMENT,35000.00,ARS,2026-02-28T19:17:10.000-04:00,0.00,34790.00,ARS,2026-02-28T19:17:12.000-04:00,34790.00,0.00,[{}]
,147585519333,324680147,bank_transfer,debin_transfer,MLA,SETTLEMENT,100000.00,ARS,2026-02-28T18:42:04.000-04:00,0.00,99400.00,ARS,2026-02-28T18:42:06.000-04:00,99400.00,0.00,[{}]
,147582711995,324680147,bank_transfer,cvu,MLA,SETTLEMENT,60000.00,ARS,2026-02-28T18:24:06.000-04:00,0.00,59640.00,ARS,2026-02-28T18:24:06.000-04:00,59640.00,0.00,[{}]
,148283708066,324680147,available_money,available_money,MLA,SETTLEMENT,60000.00,ARS,2026-02-28T17:20:29.000-04:00,0.00,59640.00,ARS,2026-02-28T17:20:30.000-04:00,59640.00,0.00,[{}]
,147568083835,324680147,bank_transfer,cvu,MLA,SETTLEMENT,120000.00,ARS,2026-02-28T16:44:27.000-04:00,0.00,119280.00,ARS,2026-02-28T16:44:27.000-04:00,119280.00,0.00,[{}]
,148273862614,324680147,bank_transfer,cvu,MLA,SETTLEMENT,60000.00,ARS,2026-02-28T16:09:05.000-04:00,0.00,59640.00,ARS,2026-02-28T16:09:06.000-04:00,59640.00,0.00,[{}]
,148271140648,324680147,bank_transfer,cvu,MLA,SETTLEMENT,55000.00,ARS,2026-02-28T15:48:44.000-04:00,0.00,54670.00,ARS,2026-02-28T15:48:44.000-04:00,54670.00,0.00,[{}]
,147557998601,324680147,bank_transfer,cvu,MLA,SETTLEMENT,50000.00,ARS,2026-02-28T15:27:06.000-04:00,0.00,49700.00,ARS,2026-02-28T15:27:07.000-04:00,49700.00,0.00,[{}]
